id,latitude,longitude,1,2,3,4,5,6,7,8,9,10,11,12,
84,-1.248163557,36.92081733,0,1,0,0,0,0,0,0,0,0,0,0,
85,-1.309789941,36.74576303,0,1,0,0,0,0,0,0,0,0,0,0,
86,-1.262379481,36.98631985,0,1,0,0,0,0,0,0,0,0,0,0,
87,-1.274998466,36.89560604,0,1,0,0,0,0,0,0,0,0,0,0,
88,-1.267552891,36.81043915,0,1,0,0,0,0,0,0,0,0,0,0,
89,-1.260978525,36.78562643,0,1,0,0,0,0,0,0,0,0,0,0,
90,-1.292691703,36.81193468,0,1,0,0,0,0,0,0,0,0,0,0,
91,-1.305804358,36.77968373,0,1,0,0,0,0,0,0,0,0,0,0,
92,-1.226197652,36.87169883,0,1,0,0,0,0,0,0,0,0,0,0,
93,-1.256681239,36.81685018,0,1,0,0,0,0,0,0,0,0,0,0,
94,-1.227658791,36.92826228,0,1,0,0,0,0,0,0,0,0,0,0,
95,-1.307615519,36.79995819,0,1,0,0,0,0,0,0,0,0,0,0,
96,-1.339324793,36.74312544,0,1,0,0,0,0,0,0,0,0,0,0,
97,-1.243209794,36.79381509,0,1,0,0,0,0,0,0,0,0,0,0,
98,-1.181348274,36.89327487,0,1,0,0,0,0,0,0,0,0,0,0,
99,-1.283764012,36.82392676,0,1,0,0,0,0,0,0,0,0,0,0,
100,-1.283506621,36.81964896,0,1,0,0,0,0,0,0,0,0,0,0,
101,-1.314332313,36.8319136,0,1,0,0,0,0,0,0,0,0,0,0,
102,-1.251107532,36.82344112,0,1,0,0,0,0,0,0,0,0,0,0,
103,-1.255317287,36.75245455,0,1,0,0,0,0,0,0,0,0,0,0,
104,-1.251107532,36.82344112,0,1,0,0,0,0,0,0,0,0,0,0,
105,-1.281888759,36.97218156,0,1,0,0,0,0,0,0,0,0,0,0,
106,-1.28716602,36.97346902,0,1,0,0,0,0,0,0,0,0,0,0,
107,-1.28169849,36.75260965,0,1,0,0,0,0,0,0,0,0,0,0,
108,-1.296069797,36.8136669,0,1,0,0,0,0,0,0,0,0,0,0,
109,-1.225979448,36.86332274,0,1,0,0,0,0,0,0,0,0,0,0,
110,-1.336982292,36.70809554,0,1,0,0,0,0,0,0,0,0,0,0,
111,-1.331065259,36.78259198,0,1,0,0,0,0,0,0,0,0,0,0,
112,-1.309583694,36.85907066,0,1,0,0,0,0,0,0,0,0,0,0,
113,-1.260889352,36.79054443,0,1,0,0,0,0,0,0,0,0,0,0,
114,-1.285262726,36.83889288,0,1,0,0,0,0,0,0,0,0,0,0,
115,-1.27920683,36.82599926,0,1,0,0,0,0,0,0,0,0,0,0,
116,-1.220247603,36.76754635,0,1,0,0,0,0,0,0,0,0,0,0,
117,-1.27026392,36.74420598,0,1,0,0,0,0,0,0,0,0,0,0,
118,-1.309780104,36.87976729,0,1,0,0,0,0,0,0,0,0,0,0,
119,-1.286063243,36.84252917,0,1,0,0,0,0,0,0,0,0,0,0,
120,-1.309114933,36.8815448,0,1,0,0,0,0,0,0,0,0,0,0,
121,-1.274488879,36.88944602,0,1,0,0,0,0,0,0,0,0,0,0,
122,-1.303707396,36.73721214,0,1,0,0,0,0,0,0,0,0,0,0,
123,-1.279401447,36.81820704,0,1,0,0,0,0,0,0,0,0,0,0,
124,-1.317992779,36.81632438,0,1,0,0,0,0,0,0,0,0,0,0,
125,-1.279401447,36.81820704,0,1,0,0,0,0,0,0,0,0,0,0,
126,-1.285783179,36.842886,0,1,0,0,0,0,0,0,0,0,0,0,
127,-1.33120655,36.85732956,0,1,0,0,0,0,0,0,0,0,0,0,
128,-1.229881997,36.80352233,0,1,0,0,0,0,0,0,0,0,0,0,
129,-1.288158104,36.8395008,0,1,0,0,0,0,0,0,0,0,0,0,
130,-1.308195902,36.82208582,0,1,0,0,0,0,0,0,0,0,0,0,
131,-1.236181559,36.81129664,0,1,0,0,0,0,0,0,0,0,0,0,
132,-1.291600977,36.82038506,0,1,0,0,0,0,0,0,0,0,0,0,
133,-1.33782699,36.76851917,0,1,0,0,0,0,0,0,0,0,0,0,
134,-1.302848726,36.76783157,0,1,0,0,0,0,0,0,0,0,0,0,
135,-1.282601039,36.73805489,0,1,0,0,0,0,0,0,0,0,0,0,
136,-1.263549822,36.80582552,0,1,0,0,0,0,0,0,0,0,0,0,
137,-1.28195217,36.88710018,0,1,0,0,0,0,0,0,0,0,0,0,
138,-1.271097308,36.80855406,0,1,0,0,0,0,0,0,0,0,0,0,
139,-1.289954896,36.73903778,0,1,0,0,0,0,0,0,0,0,0,0,
140,-1.278660426,36.77884643,0,1,0,0,0,0,0,0,0,0,0,0,
141,-1.322631195,36.88572548,0,1,0,0,0,0,0,0,0,0,0,0,
142,-1.321223383,36.79287029,0,1,0,0,0,0,0,0,0,0,0,0,
143,-1.233517013,36.84396457,0,1,0,0,0,0,0,0,0,0,0,0,
144,-1.281270824,36.75329812,0,1,0,0,0,0,0,0,0,0,0,0,
145,-1.270035636,36.7425168,0,1,0,0,0,0,0,0,0,0,0,0,
146,-1.287479673,36.74677939,0,1,0,0,0,0,0,0,0,0,0,0,
147,-1.282151513,36.74964235,0,1,0,0,0,0,0,0,0,0,0,0,
148,-1.259013735,36.85644449,0,1,0,0,0,0,0,0,0,0,0,0,
149,-1.253579715,36.87451927,0,1,0,0,0,0,0,0,0,0,0,0,
150,-1.225073776,36.9163937,0,1,0,0,0,0,0,0,0,0,0,0,
151,-1.265517464,36.99373598,0,1,0,0,0,0,0,0,0,0,0,0,
152,-1.27190462,36.99514988,0,1,0,0,0,0,0,0,0,0,0,0,
153,-1.256743876,36.9892858,0,1,0,0,0,0,0,0,0,0,0,0,
154,-1.260372935,36.97848042,0,1,0,0,0,0,0,0,0,0,0,0,
155,-1.251949491,36.94449219,0,1,0,0,0,0,0,0,0,0,0,0,
156,-1.259555757,36.98192401,0,1,0,0,0,0,0,0,0,0,0,0,
157,-1.258643006,36.99014075,0,0,1,0,0,0,0,0,0,0,0,0,
